timestamp_unix,O1,O2,T3,T4
1762668924.691327,-39516.486228,-44545.408338,-46524.092555,-69913.931191
1762668924.695327,-39557.304233,-44575.925916,-46535.916626,-69919.653237
1762668924.691327,-39554.633200,-44585.078955,-46538.971364,-69915.078580
1762668924.695327,-39480.246603,-44521.756470,-46522.185206,-69893.710315
1762668924.712160,-39447.821677,-44494.289905,-46512.648463,-69886.080921
1762668924.716160,-39484.824985,-44519.849122,-46515.699476,-69896.385074
1762668924.722955,-39547.767490,-44580.500573,-46534.772962,-69915.458560
1762668924.726954,-39524.879307,-44570.203871,-46534.772962,-69909.736514
1762668924.722955,-39449.729025,-44507.261366,-46510.361135,-69887.988269
1762668924.726954,-39427.984506,-44478.651136,-46499.297023,-69878.071547
1762668924.741518,-39475.288242,-44514.890760,-46511.504799,-69887.228310
1762668924.745518,-39532.128721,-44560.667127,-46532.485634,-69905.154407
1762668924.751592,-39518.393576,-44548.075646,-46530.194581,-69900.959730
1762668924.755592,-39450.872689,-44493.909925,-46504.255384,-69880.358875
1762668924.759592,-39439.812303,-44480.558485,-46497.009695,-69877.311587
1762668924.763592,-39477.195591,-44513.743371,-46514.555812,-69889.515638
1762668924.751592,-39537.467062,-44554.945081,-46532.485634,-69900.579751
1762668924.755592,-39543.952793,-44572.491199,-46535.916626,-69905.541837
1762668924.772153,-39480.630308,-44519.465417,-46517.606825,-69892.190397
1762668924.776153,-39458.502084,-44493.909925,-46506.926417,-69884.940982
1762668924.772153,-39497.412741,-44520.229101,-46514.555812,-69895.617664
1762668924.776153,-39558.831602,-44584.698975,-46540.115029,-69918.505847
1762668924.782395,-39547.387511,-44576.685876,-46541.258693,-69912.023842
1762668924.786395,-39493.218064,-44519.465417,-46523.328871,-69891.422987
1762668924.782395,-39476.815611,-44501.155615,-46516.083181,-69889.515638
1762668924.786395,-39522.971958,-44545.024633,-46527.527273,-69903.634489
1762668924.802907,-39558.067918,-44585.462660,-46539.731324,-69916.218519
1762668924.806907,-39540.901780,-44580.500573,-46540.495008,-69912.023842
1762668924.813607,-39478.722960,-44520.612806,-46511.884779,-69889.135659
1762668924.817607,-39454.687387,-44495.817274,-46503.491700,-69886.080921
1762668924.821607,-39487.112314,-44527.478516,-46520.657837,-69900.959730
1762668924.825607,-39530.601352,-44564.098120,-46534.392983,-69910.876453
1762668924.813607,-39528.694004,-44574.018568,-46536.680311,-69907.829165
1762668924.817607,-39462.316781,-44513.363391,-46517.606825,-69886.848330
1762668924.830160,-39444.006979,-44483.989477,-46507.306397,-69879.978895
1762668924.834160,-39477.195591,-44500.391930,-46514.935791,-69884.173572
1762668924.854993,-39539.758116,-44562.190771,-46540.878713,-69903.247058
1762668924.858993,-39529.457688,-44561.810791,-46538.587660,-69902.867079
1762668924.861387,-39455.834776,-44499.631971,-46512.268484,-69880.358875
1762668924.865386,-39445.150644,-44478.267431,-46501.584351,-69875.024259
1762668924.869387,-39500.463754,-44522.520155,-46518.750489,-69893.710315
1762668924.873387,-39551.582187,-44571.347535,-46537.443995,-69908.969104
1762668924.862386,-39544.716477,-44562.574476,-46536.680311,-69908.209145
1762668924.866386,-39476.051927,-44516.414404,-46517.606825,-69893.710315
1762668924.873719,-39462.316781,-44505.354017,-46511.884779,-69891.802967
1762668924.877719,-39493.598044,-44526.334852,-46517.990530,-69898.672402
1762668924.873719,-39546.240121,-44560.667127,-46534.392983,-69908.969104
1762668924.877719,-39551.962167,-44583.555311,-46543.929726,-69915.078580
1762668924.893977,-39482.537657,-44518.705457,-46519.514173,-69891.802967
1762668924.897977,-39460.029453,-44496.197253,-46510.741115,-69887.228310
1762668924.903214,-39492.074400,-44524.427503,-46522.565186,-69896.005094
1762668924.907214,-39564.553648,-44590.421021,-46551.175416,-69920.413196
1762668924.911215,-39542.425424,-44578.593224,-46548.508108,-69916.985929
1762668924.915215,-39461.173117,-44516.414404,-46519.134194,-69891.802967
1762668924.908238,-39443.243295,-44497.340918,-46507.306397,-69884.561002
1762668924.912238,-39490.167052,-44534.344226,-46525.236219,-69902.107120
1762668924.919191,-39532.508701,-44568.296522,-46539.731324,-69913.551211
1762668924.923191,-39521.064609,-44554.561377,-46537.823975,-69907.449186
1762668924.919191,-39455.834776,-44506.497681,-46519.514173,-69889.515638
1762668924.923191,-39434.470236,-44483.989477,-46512.268484,-69884.561002
1762668924.935655,-39473.380893,-44508.785009,-46523.712575,-69894.477725
1762668924.939655,-39514.962584,-44543.117285,-46535.916626,-69903.247058
1762668924.945973,-39524.499327,-44568.676502,-46544.693410,-69912.783802
1762668924.949973,-39460.793138,-44516.798109,-46525.619924,-69898.672402
1762668924.953973,-39435.233921,-44484.753162,-46511.121094,-69890.283048
1762668924.957973,-39463.844150,-44500.391930,-46509.977430,-69892.570376
1762668924.963664,-39529.457688,-44564.481825,-46538.587660,-69910.496473
1762668924.967664,-39516.106248,-44558.759779,-46539.731324,-69902.107120
1762668924.963664,-39455.834776,-44498.868287,-46516.463161,-69879.218936
1762668924.967664,-39445.150644,-44482.082129,-46510.361135,-69874.256849
1762668924.985667,-39490.547031,-44520.992786,-46525.236219,-69891.802967
1762668924.989667,-39540.138096,-44565.241784,-46542.402357,-69907.829165
1762668924.995955,-39532.508701,-44557.612389,-46541.258693,-69902.487099
1762668924.999955,-39469.566196,-44512.219727,-46522.185206,-69886.080921
1762668925.003955,-39452.016354,-44502.682984,-46516.083181,-69884.940982
1762668925.007955,-39500.847459,-44536.251575,-46530.578285,-69898.672402
1762668924.995955,-39537.087083,-44572.111219,-46538.971364,-69907.829165
1762668924.999955,-39545.096457,-44590.801001,-46545.453370,-69912.783802
1762668925.006099,-39466.131479,-44525.951147,-46521.805227,-69892.190397
1762668925.010099,-39435.613900,-44490.095228,-46508.070081,-69883.793592
