timestamp_unix,O1,O2,T3,T4
1762668844.327802,-39510.384202,-43829.005212,-45000.880957,-68872.138858
1762668844.331802,-39469.566196,-43787.427247,-44985.622168,-68857.640028
1762668844.327802,-39500.463754,-43799.631298,-44990.964234,-68864.509463
1762668844.331802,-39564.933628,-43860.286474,-45014.616102,-68885.870278
1762668844.337938,-39572.943002,-43872.494251,-45021.481812,-68885.870278
1762668844.341938,-39493.218064,-43816.037476,-44998.973608,-68866.796792
1762668844.348024,-39448.965341,-43776.743114,-44981.427491,-68856.880069
1762668844.352024,-39524.115622,-43823.666871,-44996.686280,-68872.898817
1762668844.356024,-39570.655674,-43863.721192,-45008.510351,-68882.435560
1762668844.360024,-39572.943002,-43875.545263,-45014.232397,-68882.435560
1762668844.358109,-39486.732334,-43816.417456,-44992.871583,-68860.694766
1762668844.362109,-39457.358420,-43796.963990,-44984.098524,-68855.352700
1762668844.368297,-39511.527866,-43810.695410,-44994.398952,-68863.362074
1762668844.372297,-39569.128305,-43847.315013,-45007.750392,-68873.278797
1762668844.368297,-39585.150778,-43874.781579,-45014.616102,-68880.148232
1762668844.372297,-39534.796029,-43845.407665,-45013.088733,-68875.953555
1762668844.378325,-39497.032762,-43806.880713,-44998.593628,-68864.889443
1762668844.382324,-39521.444589,-43817.944825,-44999.737293,-68867.556751
1762668844.388436,-39580.572397,-43882.030994,-45024.532825,-68887.397647
1762668844.392436,-39594.687521,-43901.484460,-45039.027929,-68893.879652
1762668844.398557,-39533.272386,-43843.120337,-45019.574463,-68876.333535
1762668844.402557,-39498.176426,-43801.538646,-45004.315674,-68863.742054
1762668844.408671,-39540.901780,-43846.171349,-45021.481812,-68880.908191
1762668844.412671,-39581.336081,-43884.318322,-45034.069568,-68891.212344
1762668844.418771,-39586.294442,-43892.711401,-45037.884265,-68890.064955
1762668844.422771,-39520.684630,-43836.634606,-45014.232397,-68870.231509
1762668844.439053,-39489.019662,-43804.973364,-44998.593628,-68859.927356
1762668844.443053,-39524.879307,-43830.148876,-45006.603003,-68870.611489
1762668844.439053,-39574.850351,-43871.350586,-45027.967542,-68883.582950
1762668844.443053,-39582.479745,-43898.813426,-45034.833252,-68890.064955
1762668844.447053,-39533.272386,-43853.420764,-45020.718127,-68874.806166
1762668844.451053,-39502.371103,-43811.075389,-45005.079359,-68856.492639
1762668844.439053,-39522.208273,-43821.375817,-45004.315674,-68862.602115
1762668844.443053,-39585.914463,-43886.609375,-45026.440173,-68887.010217
1762668844.459341,-39588.201791,-43898.053467,-45029.491186,-68888.157606
1762668844.463341,-39522.208273,-43836.634606,-45008.510351,-68870.231509
1762668844.463439,-39485.588670,-43796.963990,-44990.200549,-68857.260048
1762668844.467439,-39527.550340,-43838.541955,-45002.788305,-68871.751428
1762668844.469476,-39576.757699,-43878.216296,-45021.481812,-68885.490298
1762668844.473476,-39576.377720,-43882.030994,-45023.009181,-68882.815540
1762668844.469476,-39509.240538,-43825.190514,-45001.644641,-68859.547377
1762668844.473476,-39481.773973,-43806.880713,-44991.344213,-68854.585290
1762668844.489687,-39509.240538,-43823.666871,-44994.398952,-68861.834705
1762668844.493687,-39562.262595,-43867.152184,-45015.379786,-68873.278797
1762668844.489687,-39572.563022,-43887.369335,-45023.769140,-68876.333535
1762668844.493687,-39508.856833,-43829.768896,-45002.788305,-68857.640028
1762668844.499784,-39473.760873,-43789.334595,-44987.149537,-68842.761219
1762668844.503784,-39495.505393,-43808.024377,-44993.635267,-68849.630654
1762668844.499784,-39561.118931,-43878.216296,-45023.389161,-68874.046206
1762668844.503784,-39583.627135,-43886.225671,-45032.925904,-68876.713514
1762668844.520073,-39522.971958,-43828.241527,-45011.181384,-68856.112659
1762668844.524073,-39479.482919,-43787.807226,-44992.107898,-68846.575916
1762668844.540312,-39524.115622,-43833.583593,-45008.130372,-68865.269423
1762668844.544312,-39571.035653,-43870.966882,-45025.676489,-68873.278797
1762668844.540312,-39568.748325,-43874.781579,-45029.874891,-68873.278797
1762668844.544312,-39515.722543,-43828.625232,-45009.274036,-68858.020008
1762668844.550470,-39493.598044,-43807.644397,-44998.593628,-68850.390613
1762668844.554470,-39527.166635,-43835.490942,-45008.510351,-68857.260048
1762668844.550470,-39571.799338,-43869.059533,-45023.009181,-68871.751428
1762668844.554470,-39582.863450,-43888.896704,-45027.967542,-68874.806166
1762668844.563599,-39518.393576,-43838.541955,-45009.657741,-68855.352700
1762668844.567599,-39482.153952,-43800.778687,-44994.778931,-68842.761219
1762668844.563599,-39512.291551,-43824.810535,-45002.028346,-68853.065372
1762668844.567599,-39571.799338,-43889.276683,-45024.152845,-68875.186145
1762668844.580833,-39595.831186,-43899.960816,-45032.925904,-68876.333535
1762668844.584833,-39520.300925,-43837.018311,-45008.894056,-68854.972720
1762668844.580833,-39485.204965,-43798.487633,-44990.964234,-68843.528628
1762668844.584833,-39537.850767,-43848.078698,-45006.603003,-68861.074746
1762668844.590918,-39572.563022,-43882.030994,-45021.861792,-68872.898817
1762668844.594918,-39577.521384,-43886.609375,-45025.676489,-68869.844079
1762668844.590918,-39530.981332,-43841.976672,-45011.181384,-68851.538002
1762668844.594918,-39512.671530,-43818.324804,-45005.079359,-68848.863244
1762668844.611154,-39539.374411,-43837.018311,-45014.232397,-68857.260048
1762668844.615154,-39584.387094,-43880.123645,-45032.545924,-68870.231509
1762668844.611154,-39595.071226,-43899.960816,-45040.175319,-68874.046206
1762668844.615154,-39530.601352,-43846.555054,-45019.574463,-68856.112659
1762668844.631414,-39495.125413,-43811.459094,-45002.408326,-68846.575916
1762668844.635414,-39534.416050,-43833.203614,-45006.603003,-68856.492639
1762668844.631414,-39594.687521,-43896.146119,-45029.874891,-68879.380822
1762668844.635414,-39590.492845,-43897.289783,-45034.453273,-68875.566125
1762668844.641497,-39527.166635,-43836.634606,-45013.472438,-68853.445351
1762668844.645497,-39493.981749,-43800.015002,-45000.120997,-68840.853870
1762668844.651607,-39542.045444,-43844.264001,-45014.616102,-68858.399987
1762668844.655607,-39582.863450,-43876.308948,-45024.916530,-68868.704140
1762668844.651607,-39582.863450,-43877.832592,-45026.440173,-68864.509463
